sample,parameter,value
03-25029,particle density,1.0706
03-25030,particle density,1.071
03-25030,bulk density,24.0
03-25031,particle density,1.0709
03-25031,bulk density,24.0
03-25032,bulk density,25.0
03-25032,particle density,1.0713
03-25033,particle density,1.0716
03-25033,bulk density,25.0
03-25034,particle density,1.0708
03-25034,bulk density,24.0
03-25342,particle density,1.0886
03-25342,bulk density,28.3
03-25347,bulk density,28.0
03-25347,particle density,1.0891
03-25432,particle density,1.104
03-25432,bulk density,38.2
03-25672,bulk density,23.7
03-25672,particle density,1.0721
03-25673,particle density,1.069
03-25673,bulk density,25.0
03-25674,particle density,1.0693000000000001
03-25674,bulk density,26.2
03-25675,bulk density,28.6
03-25675,particle density,1.0691000000000002
03-25676,particle density,1.0697999999999999
03-25676,bulk density,29.2
03-25677,bulk density,24.8
03-25677,particle density,1.0689
03-25678,particle density,1.0681
03-25678,bulk density,24.8
03-25679,bulk density,26.7
03-25679,particle density,1.0695999999999999
03-25680,particle density,1.0675
03-25680,bulk density,24.0
03-25681,bulk density,25.6
03-25681,particle density,1.0716999999999999
03-25682,bulk density,25.9
03-25682,particle density,1.0709
03-25683,particle density,1.0713
03-25683,bulk density,25.4
04-00316,bulk density,40.9
04-00316,particle density,1.1068
04-00317,bulk density,41.1
04-00317,particle density,1.1096
04-00322,particle density,1.0705
04-00322,bulk density,38.1
04-00404,bulk density,37.5
04-00404,particle density,1.0762
04-00405,bulk density,37.6
04-00405,particle density,1.076
04-00535,bulk density,27.0
04-00535,particle density,1.0962
04-00536,bulk density,28.0
04-00536,particle density,1.0893000000000002
04-00540,particle density,1.0937000000000001
04-00540,bulk density,31.8
04-00541,particle density,1.1061999999999999
04-00541,bulk density,33.4
04-00542,particle density,1.107
04-00542,bulk density,23.4
04-00543,bulk density,34.3
04-00543,particle density,1.108
04-00544,particle density,1.109
04-00544,bulk density,33.9
04-00545,particle density,1.1092
04-00545,bulk density,34.0
04-00546,particle density,1.1104
04-00546,bulk density,33.7
04-00547,particle density,1.1092
04-00547,bulk density,33.2
04-00548,particle density,1.1086
04-00548,bulk density,33.7
04-00549,particle density,1.1093
04-00549,bulk density,33.7
04-00550,bulk density,33.2
04-00550,particle density,1.1088
04-00551,particle density,1.1093
04-00551,bulk density,33.4
04-00552,bulk density,33.6
