sample,parameter,value
06-07332,particle density,1.0977999999999999
06-07333,bulk density,36.5
06-07333,particle density,1.0979999999999999
06-07859,particle density,1.099
06-07859,bulk density,34.1
06-07860,bulk density,33.5
06-07860,particle density,1.0979
06-07861,bulk density,34.6
06-07861,particle density,1.0977000000000001
06-08119,bulk density,41.0
06-08119,particle density,1.0935000000000001
06-08120,particle density,1.0937000000000001
06-08120,bulk density,41.0
06-08121,particle density,1.0934
06-08121,bulk density,41.0
06-08122,particle density,1.0981
06-08122,bulk density,42.0
06-08123,bulk density,41.0
06-08123,particle density,1.0976
06-08124,particle density,1.0975000000000001
06-08124,bulk density,41.0
06-08125,bulk density,41.0
06-08125,particle density,1.0965
06-08126,particle density,1.0821
06-08126,bulk density,39.0
06-08127,bulk density,39.0
06-08127,particle density,1.0819
06-08128,particle density,1.0816
06-08128,bulk density,40.0
06-08546,particle density,1.0977999999999999
06-08546,bulk density,45.0
06-08547,particle density,1.1
06-08547,bulk density,52.0
06-08548,bulk density,48.0
06-08548,particle density,1.099
06-09144,particle density,1.1007
06-09144,bulk density,34.0
06-09145,bulk density,35.1
06-09145,particle density,1.0996000000000001
06-09147,particle density,1.0985
06-09147,bulk density,34.9
06-09148,particle density,1.0987
06-09148,bulk density,35.2
06-09461,particle density,1.0838
06-09461,bulk density,36.4
06-09462,bulk density,38.4
06-09462,particle density,1.0813000000000001
06-09743,particle density,1.1011
06-09743,bulk density,33.7
06-09744,bulk density,33.2
06-09744,particle density,1.0985
06-09745,particle density,1.0979999999999999
06-09745,bulk density,34.0
06-09746,bulk density,34.3
06-09746,particle density,1.0971
06-10046,particle density,1.0949
06-10046,bulk density,37.0
06-10047,bulk density,37.7
06-10047,particle density,1.0945
06-10048,particle density,1.0976
06-10048,bulk density,35.0
06-10049,particle density,1.0954000000000002
06-10049,bulk density,36.5
06-10533,particle density,1.0979
06-10533,bulk density,34.7
06-10534,bulk density,37.5
06-10534,particle density,1.0986
06-10535,bulk density,35.0
06-10535,particle density,1.0972
06-10536,bulk density,37.6
06-10536,particle density,1.0962
06-10643,particle density,1.0909
06-10643,bulk density,26.7
06-10644,particle density,1.0889
06-10644,bulk density,28.2
06-10805,particle density,1.0958
06-10805,bulk density,32.8
06-11677,particle density,1.0816
06-11677,bulk density,36.4
06-12370,particle density,1.0957
06-12370,bulk density,36.8
06-12371,bulk density,34.2
06-12371,particle density,1.0974
06-12372,particle density,1.0973000000000002
06-12372,bulk density,34.2
06-12373,bulk density,35.3
06-12373,particle density,1.099
06-12594,particle density,1.0972
06-12594,bulk density,34.2
06-12595,bulk density,33.4
06-12595,particle density,1.097
06-12596,particle density,1.095
06-12596,bulk density,34.3
06-13147,particle density,1.097
06-13147,bulk density,34.8
06-13627,particle density,1.0981999999999998
06-13627,bulk density,34.3
06-14186,particle density,1.0986
06-14186,bulk density,41.2
06-14187,bulk density,41.1
06-14187,particle density,1.0977000000000001
06-14188,particle density,1.0929
06-14188,bulk density,40.1
06-14304,bulk density,37.7
06-14304,particle density,1.0840999999999998
06-14423,particle density,1.0981
06-14423,bulk density,34.2
06-14424,bulk density,34.4
06-14424,particle density,1.0981999999999998
06-14425,particle density,1.0988
06-14425,bulk density,34.0
06-14426,particle density,1.0977999999999999
06-14426,bulk density,34.5
06-14462,particle density,1.0747
06-14462,bulk density,28.2
06-14463,bulk density,28.8
06-14463,particle density,1.0762
06-14782,bulk density,36.5
06-14782,particle density,1.0937999999999999
06-14783,particle density,1.095
06-14783,bulk density,36.5
06-14784,particle density,1.0984
06-14784,bulk density,35.3
06-14785,particle density,1.0977000000000001
06-14785,bulk density,35.3
06-15637,particle density,1.0951
06-15637,bulk density,39.9
06-15694,bulk density,34.0
06-15694,particle density,1.0988
06-15695,particle density,1.0983
06-15695,bulk density,36.0
06-15696,particle density,1.097
06-15696,bulk density,35.0
06-15697,particle density,1.0984
06-15697,bulk density,35.0
06-16101,particle density,1.0991
06-16101,bulk density,34.0
06-16102,bulk density,34.0
06-16102,particle density,1.0988
06-16103,particle density,1.0985
06-16103,bulk density,34.0
06-16104,bulk density,34.0
06-16104,particle density,1.0993
06-16218,bulk density,40.0
06-16218,particle density,1.0825
06-16219,bulk density,40.0
06-16219,particle density,1.0827
06-16610,bulk density,34.2
06-16610,particle density,1.0977999999999999
06-16611,particle density,1.0979999999999999
06-16611,bulk density,33.6
06-16612,particle density,1.0977999999999999
06-16612,bulk density,33.6
06-16613,particle density,1.0977999999999999
06-16613,bulk density,33.4
06-16963,bulk density,34.0
06-16963,particle density,1.0977999999999999
06-16964,bulk density,34.0
06-16964,particle density,1.0981
06-16965,particle density,1.0969
06-16965,bulk density,34.0
06-16966,bulk density,35.0
06-16966,particle density,1.0977000000000001
06-17251,particle density,1.0976
06-17251,bulk density,34.0
06-17252,bulk density,34.0
06-17252,particle density,1.0981
06-17253,particle density,1.0997
06-17253,bulk density,35.0
06-17254,particle density,1.0994000000000002
06-17254,bulk density,36.0
06-17597,particle density,1.0981
06-17597,bulk density,34.3
06-17598,particle density,1.0979999999999999
06-17598,bulk density,34.5
06-17599,bulk density,35.0
06-17599,particle density,1.0977999999999999
06-17600,particle density,1.0983
06-17600,bulk density,35.1
06-17601,bulk density,34.2
06-17601,particle density,1.0977000000000001
06-18028,bulk density,34.6
06-18028,particle density,1.0986
06-18029,bulk density,35.1
06-18029,particle density,1.0972
06-18030,particle density,1.0965
06-18030,bulk density,35.0
06-18031,particle density,1.096
06-18031,bulk density,35.3
06-18032,particle density,1.0989
06-18032,bulk density,35.3
06-18912,bulk density,36.0
06-18912,particle density,1.0944
06-18913,particle density,1.0948
06-18913,bulk density,36.0
06-18914,particle density,1.0963
06-18914,bulk density,36.0
06-18915,particle density,1.0969
06-18915,bulk density,36.0
06-18916,particle density,1.0958999999999999
06-18916,bulk density,36.0
06-18917,bulk density,36.0
06-18917,particle density,1.0968
06-18918,particle density,1.0965
06-18918,bulk density,36.0
06-18919,particle density,1.093
06-18919,bulk density,35.0
06-18920,bulk density,34.0
06-18920,particle density,1.1
06-18921,particle density,1.1005
06-18921,bulk density,33.0
06-18922,particle density,1.0977999999999999
06-18922,bulk density,35.0
06-19230,bulk density,33.7
06-19230,particle density,1.0957
06-19231,particle density,1.0966
06-19231,bulk density,34.3
06-19232,particle density,1.0958999999999999
06-19232,bulk density,34.4
06-19233,particle density,1.096
06-19233,bulk density,34.4
06-19234,bulk density,35.3
06-19234,particle density,1.1059999999999999
06-19405,particle density,1.0889
06-19405,bulk density,28.7
06-19406,bulk density,28.1
06-19406,particle density,1.0916000000000001
06-19573,particle density,1.0985
06-19573,bulk density,35.0
06-19574,bulk density,34.5
06-19574,particle density,1.0983
06-19575,particle density,1.0969
06-19575,bulk density,34.0
06-19576,particle density,1.0992
06-19576,bulk density,34.5
06-19577,particle density,1.0977000000000001
06-19577,bulk density,37.9
06-19578,bulk density,37.6
06-19578,particle density,1.0956000000000001
06-20527,bulk density,43.0
06-20527,particle density,1.1061999999999999
06-20528,bulk density,43.0
06-20528,particle density,1.116
06-20861,particle density,1.0933000000000002
06-20861,bulk density,41.0
06-20923,bulk density,30.0
06-20923,particle density,1.1047
06-21247,particle density,1.1007
06-21247,bulk density,32.0
06-21248,bulk density,34.0
06-21248,particle density,1.1011
06-21249,particle density,1.1015000000000001
06-21249,bulk density,32.0
06-21250,particle density,1.1
06-21250,bulk density,34.0
06-21251,particle density,1.1002
06-21251,bulk density,32.9
07-00001,bulk density,42.8
07-00001,particle density,1.1152
07-00372,particle density,1.0682
07-00372,bulk density,27.0
07-00373,particle density,1.0668
07-00373,bulk density,28.0
07-00579,particle density,1.072
07-00579,bulk density,26.0
07-00947,particle density,1.0981999999999998
07-00947,bulk density,31.0
07-01230,particle density,1.0996000000000001
07-01230,bulk density,31.0
07-01231,bulk density,30.0
07-01231,particle density,1.1012
07-01234,particle density,1.075
07-01234,bulk density,30.0
07-01235,bulk density,27.0
07-01235,particle density,1.1105
07-01236,particle density,1.1104
07-01236,bulk density,27.0
07-01237,particle density,1.1126
07-01237,bulk density,27.0
07-01607,particle density,1.092
07-01607,bulk density,30.0
07-01608,bulk density,28.0
07-01608,particle density,1.0933000000000002
07-01847,bulk density,31.0
07-01847,particle density,1.0988
07-01848,particle density,1.1012
07-01848,bulk density,30.0
07-01849,particle density,1.1019999999999999
07-01849,bulk density,29.0
07-01850,bulk density,31.0
07-01850,particle density,1.0998999999999999
07-01851,particle density,1.101
07-01851,bulk density,30.0
07-01989,bulk density,39.0
07-01989,particle density,1.0828
07-02577,particle density,1.072
07-02577,bulk density,35.0
07-02578,bulk density,32.0
07-02578,particle density,1.072
07-02579,bulk density,31.0
07-02579,particle density,1.0714000000000001
07-02806,particle density,1.1107
07-02806,bulk density,26.0
07-02807,particle density,1.1107
07-02807,bulk density,28.0
07-02810,particle density,1.1138
07-02810,bulk density,30.0
07-02811,particle density,1.1120999999999999
07-02811,bulk density,30.0
07-02818,particle density,1.0967
07-02818,bulk density,35.0
07-02819,bulk density,35.0
07-02819,particle density,1.0954000000000002
07-02898,particle density,1.0943
07-02898,bulk density,37.0
07-02899,particle density,1.0939
07-02899,bulk density,37.0
07-02900,bulk density,35.0
07-02900,particle density,1.0935000000000001
07-02901,particle density,1.0937000000000001
07-02901,bulk density,33.0
07-02902,particle density,1.093
07-02902,bulk density,33.0
07-02903,bulk density,32.0
07-02903,particle density,1.0935000000000001
07-02904,bulk density,32.0
07-02904,particle density,1.0933000000000002
07-02905,particle density,1.0939
07-02905,bulk density,33.0
07-02906,particle density,1.0946
07-02906,bulk density,32.0
07-02907,particle density,1.0957
07-02907,bulk density,32.0
07-02908,bulk density,32.0
07-02908,particle density,1.0955
07-03034,particle density,1.0832000000000002
07-03034,bulk density,40.0
07-03051,particle density,1.1126
07-03051,bulk density,29.0
07-03052,particle density,1.1137000000000001
07-03052,bulk density,32.0
07-03168,particle density,1.1005
07-03168,bulk density,36.0
07-03169,bulk density,37.0
07-03169,particle density,1.097
07-03170,particle density,1.0966
07-03170,bulk density,37.0
07-03171,particle density,1.0939999999999999
07-03171,bulk density,37.0
07-03710,particle density,1.0974
07-03710,bulk density,34.0
07-03711,bulk density,34.0
07-03711,particle density,1.0991
07-03712,particle density,1.0988
07-03712,bulk density,34.0
07-03713,bulk density,34.0
07-03713,particle density,1.0987
07-03893,particle density,1.1154
07-03893,bulk density,43.0
07-03980,particle density,1.1006
07-03980,bulk density,33.0
07-03981,bulk density,34.0
07-03981,particle density,1.103
07-03982,particle density,1.1000999999999999
07-03982,bulk density,34.0
07-04303,particle density,1.0977000000000001
07-04303,bulk density,42.0
07-04729,particle density,1.097
07-04729,bulk density,34.4
07-04730,bulk density,35.2
07-04730,particle density,1.0975000000000001
07-04731,particle density,1.0981
07-04731,bulk density,36.4
07-04732,particle density,1.1082999999999998
07-04732,bulk density,37.7
07-04932,particle density,1.0945
07-04932,bulk density,37.0
07-05223,particle density,1.1073
07-05223,bulk density,34.0
07-05224,bulk density,33.0
07-05224,particle density,1.0991
07-05225,bulk density,34.0
07-05225,particle density,1.0968
07-05226,particle density,1.1069
07-05226,bulk density,37.0
07-05227,bulk density,38.0
07-05227,particle density,1.1063
07-05502,particle density,1.1056
07-05502,bulk density,35.0
07-05503,bulk density,36.0
07-05503,particle density,1.0935000000000001
07-05504,particle density,1.0926
07-05504,bulk density,36.0
07-05505,particle density,1.0939
07-05505,bulk density,34.0
07-05506,particle density,1.0923
07-05506,bulk density,36.0
07-05507,particle density,1.0977000000000001
07-05507,bulk density,35.0
07-05508,particle density,1.0975000000000001
07-05508,bulk density,34.0
07-06337,particle density,1.0687
07-06337,bulk density,27.0
07-06338,bulk density,30.0
07-06338,particle density,1.068
07-06339,particle density,1.0682
07-06339,bulk density,30.0
07-06351,particle density,1.0833
07-06351,bulk density,40.0
07-06535,particle density,1.0964
07-06535,bulk density,33.39
07-06536,particle density,1.0986
07-06536,bulk density,33.16
07-06537,particle density,1.0975000000000001
07-06537,bulk density,33.81
07-06883,bulk density,28.0
07-06883,particle density,1.0723
07-06884,bulk density,28.0
07-06884,particle density,1.0715
07-06975,bulk density,24.0
07-06975,particle density,1.0714000000000001
07-06976,particle density,1.0712000000000002
07-06976,bulk density,26.0
07-06977,particle density,1.0722
07-06977,bulk density,28.0
07-06978,bulk density,34.0
07-06978,particle density,1.1033
07-06979,particle density,1.1024
07-06979,bulk density,34.0
07-06980,particle density,1.1025
07-06980,bulk density,34.0
07-07263,particle density,1.0903
07-07263,bulk density,0.0
07-07264,particle density,1.0913
07-07264,bulk density,0.0
07-07323,bulk density,35.0
07-07323,particle density,1.0993
07-07572,bulk density,37.0
07-07572,particle density,1.1056
07-07573,bulk density,37.0
07-07573,particle density,1.1047
07-07574,bulk density,33.0
07-07574,particle density,1.1007
07-07575,bulk density,34.0
07-07575,particle density,1.1005
07-07576,particle density,1.0908
07-07576,bulk density,33.0
07-07577,particle density,1.1031
07-07577,bulk density,34.0
07-07578,particle density,1.1019
07-07578,bulk density,34.0
07-07579,particle density,1.1026
07-07579,bulk density,34.0
07-07580,particle density,1.0984
07-07580,bulk density,36.0
07-07581,particle density,1.0991
07-07581,bulk density,35.0
07-07582,particle density,1.0995
07-07582,bulk density,35.0
07-07946,particle density,1.1019
07-07946,bulk density,33.0
07-07947,particle density,1.101
07-07947,bulk density,34.0
07-08050,particle density,1.1172
07-08050,bulk density,43.0
07-08174,particle density,1.089
07-08174,bulk density,27.0
07-08175,bulk density,29.0
07-08175,particle density,1.0893000000000002
07-08611,particle density,1.0909
07-08611,bulk density,0.0
07-08612,bulk density,0.0
07-08612,particle density,1.0908
07-09110,bulk density,41.0
07-09110,particle density,1.0927
07-09937,particle density,1.0954000000000002
07-09937,bulk density,33.0
07-09938,particle density,1.0968
07-09938,bulk density,34.0
07-09939,bulk density,34.0
07-09939,particle density,1.097
07-09940,particle density,1.0965
07-09940,bulk density,33.0
07-09941,bulk density,33.0
07-09941,particle density,1.0964
07-09942,particle density,1.0955
07-09942,bulk density,36.0
07-09943,particle density,1.0949
07-09943,bulk density,36.0
07-09944,particle density,1.0960999999999999
07-09944,bulk density,33.0
07-09945,particle density,1.0965
07-09945,bulk density,33.0
07-09946,bulk density,33.0
07-09946,particle density,1.0957
07-09947,bulk density,34.0
07-09947,particle density,1.0958
07-09948,particle density,1.0967
07-09948,bulk density,33.0
07-09949,particle density,1.096
07-09949,bulk density,33.0
07-09950,bulk density,33.0
07-09950,particle density,1.0960999999999999
07-09951,particle density,1.0963
07-09951,bulk density,33.0
07-09983,particle density,1.083
07-09983,bulk density,38.0
07-09984,particle density,1.084
07-09984,bulk density,37.0
07-09985,particle density,1.084
07-09985,bulk density,40.0
07-11049,bulk density,27.0
07-11049,particle density,1.0903
07-11308,particle density,1.0888
07-11308,bulk density,0.0
07-11489,particle density,1.0977000000000001
07-11489,bulk density,33.0
07-11490,particle density,1.1094
07-11490,bulk density,36.0
07-11491,bulk density,34.0
07-11491,particle density,1.087
07-11492,particle density,1.0960999999999999
07-11492,bulk density,34.0
07-11493,particle density,1.0954000000000002
07-11493,bulk density,34.0
07-12380,particle density,1.1002
07-12380,bulk density,33.0
07-12381,particle density,1.1008
07-12381,bulk density,32.0
07-12382,bulk density,34.0
07-12382,particle density,1.108
07-12697,bulk density,34.0
07-12697,particle density,1.1078999999999999
07-12698,particle density,1.1089
07-12698,bulk density,34.0
07-12699,bulk density,34.0
07-12699,particle density,1.1091
07-12700,particle density,1.1078000000000001
07-12700,bulk density,33.0
07-12718,particle density,1.0933000000000002
07-12718,bulk density,27.0
07-12719,particle density,1.0893000000000002
07-12719,bulk density,0.0
07-13139,particle density,1.1018
07-13139,bulk density,30.0
07-13140,bulk density,35.0
07-13140,particle density,1.1076000000000001
07-13141,bulk density,35.0
07-13141,particle density,1.1080999999999999
07-13366,bulk density,34.0
07-13366,particle density,1.0960999999999999
07-13367,particle density,1.0964
07-13367,bulk density,35.0
07-13938,particle density,1.091
07-13938,bulk density,29.0
07-14004,particle density,1.1069
07-14004,bulk density,37.0
07-14227,particle density,1.1063
07-14227,bulk density,36.0
07-14228,bulk density,33.0
07-14228,particle density,1.1032
07-14229,particle density,1.1085
07-14229,bulk density,35.0
07-14230,bulk density,34.0
07-14230,particle density,1.1037
07-14231,bulk density,34.0
07-14231,particle density,1.1058
07-14470,particle density,1.1059999999999999
07-14470,bulk density,33.9
07-14471,bulk density,35.5
07-14471,particle density,1.1085
07-14472,bulk density,36.9
07-14472,particle density,1.1007
07-14473,particle density,1.1015000000000001
07-14473,bulk density,36.1
07-14474,particle density,1.1065
07-14474,bulk density,37.9
07-14475,bulk density,34.4
07-14475,particle density,1.0932
07-14549,particle density,1.1021999999999998
07-14549,bulk density,34.2
07-14550,particle density,1.1059999999999999
07-14550,bulk density,37.0
07-14551,bulk density,36.0
07-14551,particle density,1.1082999999999998
07-14552,particle density,1.1006
07-14552,bulk density,37.0
07-14553,particle density,1.1067
07-14553,bulk density,37.0
07-15002,particle density,1.1038999999999999
07-15002,bulk density,36.0
07-15003,particle density,1.1038000000000001
07-15003,bulk density,39.0
07-15004,particle density,1.1021
07-15004,bulk density,35.0
07-15005,particle density,1.1031
07-15005,bulk density,38.0
07-15006,bulk density,38.0
07-15006,particle density,1.1040999999999999
07-15007,particle density,1.1033
07-15007,bulk density,38.0
07-15425,particle density,1.1016
07-15425,bulk density,36.0
07-15426,particle density,1.097
07-15426,bulk density,36.0
07-15427,bulk density,37.0
07-15427,particle density,1.1000999999999999
07-15495,particle density,1.1133
07-15495,bulk density,43.0
07-15496,bulk density,41.0
07-15496,particle density,1.0979
07-15652,bulk density,34.0
07-15652,particle density,1.1037
07-15653,particle density,1.1026
07-15653,bulk density,36.0
07-15654,particle density,1.1028
07-15654,bulk density,34.0
07-15655,bulk density,33.0
07-15655,particle density,1.1023
07-15906,particle density,1.0912
07-15906,bulk density,25.0
07-15907,particle density,1.0932
07-15907,bulk density,25.0
07-16501,particle density,1.0977999999999999
07-16501,bulk density,33.0
07-16502,particle density,1.0976
07-16502,bulk density,33.0
07-16503,particle density,1.0977000000000001
07-16503,bulk density,32.0
07-16630,particle density,1.0939
07-16630,bulk density,28.0
07-16631,particle density,1.0948
07-16631,bulk density,28.0
07-16633,particle density,1.1021999999999998
07-16633,bulk density,34.0
07-16634,particle density,1.1018
07-16634,bulk density,33.0
07-16635,particle density,1.1000999999999999
07-16635,bulk density,33.0
07-17051,particle density,1.0964
07-17051,bulk density,33.0
07-17052,bulk density,34.0
07-17052,particle density,1.0963
07-17053,particle density,1.0989
07-17053,bulk density,31.0
07-17054,bulk density,31.0
07-17054,particle density,1.1044
07-17313,bulk density,27.0
07-17313,particle density,1.0908
07-17314,bulk density,26.0
07-17314,particle density,1.0899
07-17315,bulk density,27.0
07-17315,particle density,1.0891
07-17316,bulk density,27.0
07-17316,particle density,1.089
07-17317,bulk density,28.0
07-17317,particle density,1.0920999999999998
07-17318,bulk density,28.0
07-17318,particle density,1.0856
07-17332,bulk density,28.0
07-17332,particle density,1.0899
07-17492,particle density,1.1063
07-17492,bulk density,33.0
07-17493,particle density,1.1115
07-17493,bulk density,37.0
07-17494,particle density,1.1005
07-17494,bulk density,29.0
07-17495,bulk density,32.0
07-17495,particle density,1.1085
07-17496,particle density,1.1084
07-17496,bulk density,33.0
07-17926,particle density,1.0954000000000002
07-17926,bulk density,34.0
07-17927,bulk density,37.0
07-17927,particle density,1.103
07-17928,bulk density,37.0
07-17928,particle density,1.1059
07-17929,particle density,1.1058
07-17929,bulk density,38.0
07-17930,particle density,1.0960999999999999
07-17930,bulk density,34.0
07-18043,particle density,1.1019999999999999
07-18043,bulk density,33.0
07-18459,bulk density,34.0
07-18459,particle density,1.0981999999999998
07-18460,particle density,1.0991
07-18460,bulk density,35.0
07-18565,particle density,1.1056
07-18565,bulk density,39.0
07-18566,bulk density,37.0
07-18566,particle density,1.1046
07-18567,particle density,1.1049
07-18567,bulk density,37.0
07-18568,bulk density,36.0
07-18568,particle density,1.1055000000000001
07-18569,particle density,1.1068
07-18569,bulk density,37.0
07-18570,bulk density,37.0
07-18570,particle density,1.1066
07-18571,particle density,1.1057000000000001
07-18571,bulk density,37.0
07-18572,particle density,1.1026
07-18572,bulk density,34.0
07-18573,particle density,1.1025
07-18573,bulk density,33.0
07-18574,particle density,1.1013
07-18574,bulk density,33.0
07-18575,bulk density,34.0
07-18575,particle density,1.099
07-18576,particle density,1.0949
07-18576,bulk density,33.0
07-18577,bulk density,32.0
07-18577,particle density,1.0975000000000001
07-18578,particle density,1.0977000000000001
07-18578,bulk density,32.0
07-18746,particle density,1.0862
07-18746,bulk density,27.0
07-18747,particle density,1.0859999999999999
07-18747,bulk density,27.0
07-18748,particle density,1.0627
07-18748,bulk density,27.0
07-18992,particle density,1.104
07-18992,bulk density,36.0
07-18993,particle density,1.1028
07-18993,bulk density,34.0
07-19017,particle density,1.1017000000000001
07-19017,bulk density,33.0
07-19211,bulk density,43.0
07-19211,particle density,1.1167
07-19508,bulk density,34.0
07-19508,particle density,1.0963
07-20231,particle density,1.1065
07-20231,bulk density,39.0
07-20232,bulk density,39.0
07-20232,particle density,1.1068
07-20233,bulk density,37.0
07-20233,particle density,1.1045
07-20234,bulk density,33.0
07-20234,particle density,1.0979999999999999
07-20235,particle density,1.0969
07-20235,bulk density,32.0
07-20236,bulk density,33.0
07-20236,particle density,1.0963
07-20237,particle density,1.0955
07-20237,bulk density,32.0
07-20238,particle density,1.0963
07-20238,bulk density,33.0
07-20239,particle density,1.0948
07-20239,bulk density,31.0
07-20240,bulk density,32.0
07-20240,particle density,1.0914000000000001
07-20241,bulk density,31.0
07-20241,particle density,1.0917
07-20242,particle density,1.0943
07-20242,bulk density,32.0
07-20243,bulk density,32.0
07-20243,particle density,1.0960999999999999
07-20244,particle density,1.0966
07-20244,bulk density,31.0
07-20580,bulk density,32.0
07-20580,particle density,1.0932
07-20581,particle density,1.0946
07-20581,bulk density,34.0
07-20582,bulk density,33.0
07-20582,particle density,1.0939
07-20583,particle density,1.0951
07-20583,bulk density,33.0
07-20584,bulk density,31.0
07-20584,particle density,1.0914000000000001
07-20585,bulk density,32.0
07-20585,particle density,1.0913
07-20586,bulk density,31.0
07-20586,particle density,1.0920999999999998
07-20587,particle density,1.0916000000000001
07-20587,bulk density,31.0
07-20588,bulk density,31.0
07-20588,particle density,1.0922
07-20589,particle density,1.0918999999999999
07-20589,bulk density,31.0
08-00423,bulk density,24.0
08-00423,particle density,1.0935000000000001
08-00424,bulk density,23.0
08-00424,particle density,1.0937000000000001
08-00425,particle density,1.0939
08-00425,bulk density,24.0
08-00492,bulk density,24.0
08-00492,particle density,1.0724
08-00493,particle density,1.0695999999999999
08-00493,bulk density,26.0
08-00515,bulk density,36.0
08-00515,particle density,1.0848
08-00516,particle density,1.0932
08-00516,bulk density,40.0
08-02853,bulk density,33.0
08-02853,particle density,1.1032
08-02854,particle density,1.0981999999999998
08-02854,bulk density,33.0
08-02951,particle density,1.0987
08-02951,bulk density,32.0
08-02952,particle density,1.0994000000000002
08-02952,bulk density,33.0
08-03088,particle density,1.0971
08-03088,bulk density,30.0
08-03332,bulk density,40.0
08-03332,particle density,1.0707
08-03333,bulk density,41.0
08-03333,particle density,1.0718
08-03334,bulk density,39.0
08-03334,particle density,1.0689
08-03335,particle density,1.0692
08-03335,bulk density,39.0
08-03395,particle density,1.101
08-03395,bulk density,33.0
08-03396,particle density,1.1018
08-03396,bulk density,33.0
08-03397,bulk density,33.0
08-03397,particle density,1.1019999999999999
08-03837,particle density,1.1023
08-03837,bulk density,33.0
08-03838,bulk density,34.0
08-03838,particle density,1.1016
08-04045,particle density,1.1066
08-04045,bulk density,43.0
08-04046,particle density,1.1049
08-04046,bulk density,42.0
08-04514,bulk density,42.0
08-04514,particle density,1.1052
08-04911,bulk density,34.0
08-04911,particle density,1.1038000000000001
08-04912,particle density,1.1031
08-04912,bulk density,34.0
08-04913,bulk density,35.0
08-04913,particle density,1.1032
08-04914,particle density,1.1029
08-04914,bulk density,34.0
08-04915,bulk density,34.0
08-04915,particle density,1.1018
08-04916,bulk density,34.0
08-04916,particle density,1.1024
08-05044,particle density,1.0943
08-05044,bulk density,25.5
08-05097,bulk density,34.3
08-05097,particle density,1.0992
08-05098,particle density,1.1035
08-05098,bulk density,33.7
08-05099,particle density,1.1032
08-05099,bulk density,33.7
08-05378,bulk density,24.0
08-05378,particle density,1.0937999999999999
08-05445,particle density,1.0935000000000001
08-05445,bulk density,27.0
08-05546,bulk density,27.5
08-05546,particle density,1.091
08-05547,bulk density,26.8
08-05547,particle density,1.0909
08-05978,particle density,1.1013
08-05978,bulk density,34.0
08-05979,particle density,1.0985
08-05979,bulk density,33.0
08-05980,bulk density,32.0
08-05980,particle density,1.0964
08-05981,particle density,1.0954000000000002
08-05981,bulk density,29.0
08-06344,particle density,1.0979999999999999
08-06344,bulk density,34.0
08-06345,particle density,1.0979999999999999
08-06345,bulk density,32.0
08-06346,bulk density,32.0
08-06346,particle density,1.0969
08-06347,particle density,1.097
08-06347,bulk density,31.0
08-06576,bulk density,27.0
08-06576,particle density,1.0933000000000002
08-06589,particle density,1.1019
08-06589,bulk density,41.0
08-06590,particle density,1.1019999999999999
08-06590,bulk density,41.0
08-06591,particle density,1.1105
08-06591,bulk density,42.0
08-06592,particle density,1.1107
08-06592,bulk density,42.0
08-06593,particle density,1.1106
08-06593,bulk density,42.0
08-06594,particle density,1.1056
08-06594,bulk density,42.0
08-06595,bulk density,41.0
08-06595,particle density,1.1053
08-06939,particle density,1.1057000000000001
08-06939,bulk density,33.8
08-06940,particle density,1.1029
08-06940,bulk density,35.6
08-06941,bulk density,35.5
08-06941,particle density,1.1027
08-06942,particle density,1.1024
08-06942,bulk density,35.7
08-06943,bulk density,32.0
08-06943,particle density,1.0941
08-07981,bulk density,31.9
08-07981,particle density,1.103
08-07982,particle density,1.1034000000000002
08-07982,bulk density,32.4
08-07983,bulk density,30.7
08-07983,particle density,1.1038999999999999
08-08561,bulk density,27.2
08-08561,particle density,1.0888
08-08658,bulk density,33.5
08-08658,particle density,1.1071
08-08659,particle density,1.1006
08-08659,bulk density,30.8
08-08660,bulk density,30.6
08-08660,particle density,1.1008
08-08661,particle density,1.1008
08-08661,bulk density,30.4
08-08662,bulk density,30.1
08-08662,particle density,1.101
08-08663,particle density,1.1002
08-08663,bulk density,30.9
08-08664,particle density,1.0998999999999999
08-08664,bulk density,31.2
08-08855,particle density,1.1059
08-08855,bulk density,43.0
08-08856,particle density,1.1048
08-08856,bulk density,42.0
08-09148,particle density,1.1046
08-09148,bulk density,39.0
08-09149,bulk density,38.0
08-09149,particle density,1.1057000000000001
08-09150,bulk density,37.0
08-09150,particle density,1.105
08-09151,particle density,1.1027
08-09151,bulk density,35.0
08-09152,bulk density,34.0
08-09152,particle density,1.1038999999999999
08-09153,bulk density,33.0
08-09153,particle density,1.1018
08-09154,particle density,1.1019
08-09154,bulk density,33.0
08-09155,bulk density,33.0
08-09155,particle density,1.0977000000000001
08-09156,bulk density,33.0
08-09156,particle density,1.095
08-09157,particle density,1.0954000000000002
08-09157,bulk density,34.0
08-09158,bulk density,33.0
08-09158,particle density,1.0955
08-09159,particle density,1.1019999999999999
08-09159,bulk density,37.0
08-09160,particle density,1.105
08-09160,bulk density,36.0
08-09161,bulk density,37.0
08-09161,particle density,1.1052
08-09162,bulk density,37.0
08-09162,particle density,1.1052
08-09217,particle density,1.0989
08-09217,bulk density,34.0
08-09218,bulk density,33.0
08-09218,particle density,1.0979
08-09219,particle density,1.0973000000000002
08-09219,bulk density,33.0
08-09220,particle density,1.1009
08-09220,bulk density,32.0
08-09221,particle density,1.1055000000000001
08-09221,bulk density,32.0
08-09222,bulk density,32.0
