,massflow,pressure,temperature,ambient_temperature
2022-04-04 10:18:00,0.0052325153,433.30914,69.33188,21.288086
2022-04-04 10:19:00,0.005623764,452.19247,67.912445,21.592743
2022-04-04 10:20:00,0.0053894836,442.31412,68.34711,20.154938
2022-04-04 10:21:00,0.005063085,445.0312,68.43271,20.992859
2022-04-04 10:22:00,0.0048108455,464.78464,68.393585,20.90686
2022-04-04 10:23:00,0.004908984,491.7788,68.7428,21.16153
2022-04-04 10:24:00,0.005173482,508.6377,67.71036,21.13675
2022-04-04 10:25:00,0.005429149,516.55286,67.83026,21.420319
2022-04-04 10:26:00,0.0047607413,531.5829,67.54407,20.964447
2022-04-04 10:27:00,0.0046721273,537.1281,66.72275,20.482574
2022-04-04 10:28:00,0.0054525207,520.27563,67.8609,20.759949
2022-04-04 10:29:00,0.0047618714,539.6444,67.11029,20.923462
2022-04-04 10:30:00,0.004605783,579.0184,67.23642,21.496826
2022-04-04 10:31:00,0.0054963757,582.10864,67.627014,20.441467
2022-04-04 10:32:00,0.005377465,581.154,67.54086,20.881866
2022-04-04 10:33:00,0.005476757,586.7058,65.65527,21.424072
2022-04-04 10:34:00,-2.1872098e-05,581.28436,66.94357,20.868164
2022-04-04 10:35:00,-0.00012690749,572.64795,67.28494,20.800385
2022-04-04 10:36:00,-0.00037297813,571.0091,65.890656,20.865753
2022-04-04 10:37:00,0.0006202491,614.85956,66.34857,22.062958
2022-04-04 10:38:00,3.4039247e-05,600.9749,65.33246,20.592194
2022-04-04 10:39:00,0.00045556246,582.4499,65.81903,20.458008
2022-04-04 10:40:00,8.630865e-05,570.0334,65.491,21.443665
2022-04-04 10:41:00,-6.687083e-05,591.7313,65.25665,21.17978
2022-04-04 10:42:00,0.00024658415,570.23615,64.714386,21.984436
2022-04-04 10:43:00,0.00017402889,585.85834,64.13498,20.241241
2022-04-04 10:44:00,-0.00035070317,568.3987,64.11636,21.36618
2022-04-04 10:45:00,-3.1710257e-05,560.9258,64.65381,21.054382
2022-04-04 10:46:00,0.0008086713,589.14685,63.993317,21.538635
2022-04-04 10:47:00,0.009281221,568.20215,64.87506,21.816101
2022-04-04 10:48:00,0.00916877,630.63385,64.60431,22.421906
2022-04-04 10:49:00,0.010068033,628.50464,65.22455,21.238708
2022-04-04 10:50:00,0.009733904,655.2285,66.70178,21.59317
2022-04-04 10:51:00,0.009546501,652.58234,67.6687,20.595612
2022-04-04 10:52:00,0.009014267,669.6129,68.48804,21.572693
2022-04-04 10:53:00,0.009796292,712.8283,68.27026,21.60788
2022-04-04 10:54:00,0.009568893,737.46814,69.6156,20.941528
2022-04-04 10:55:00,0.009762598,741.85205,69.97919,21.571228
2022-04-04 10:56:00,0.009913165,750.1365,71.63992,20.964874
2022-04-04 10:57:00,0.009810503,808.5981,71.0173,21.656189
2022-04-04 10:58:00,0.009601979,821.10583,71.96802,21.548248
2022-04-04 10:59:00,0.009356346,831.7897,72.90521,20.646484
2022-04-04 11:00:00,0.008814183,848.7567,73.18759,21.417267
